# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(porosityF)
0.05              	4.0042536922e-01
0.1               	4.0098815842e-01
0.15              	4.0171995770e-01
0.2               	4.0264837557e-01
0.25              	4.0379729955e-01
0.3               	4.0518655075e-01
0.35              	4.0683189645e-01
0.4               	4.0874524701e-01
0.45              	4.1093498021e-01
0.5               	4.1340634154e-01
