# Region          : all region0
# Cells           : 2
# Volume          : 2.0000000000e-09
# Time            	max(porosityF)
0.05              	9.9995000000e-01
0.1               	9.9995000000e-01
0.15              	9.9995000000e-01
0.2               	9.9995000000e-01
0.25              	9.9995000000e-01
0.3               	9.9995000000e-01
0.35              	9.9995000000e-01
0.4               	9.9995000000e-01
0.45              	9.9995000000e-01
0.5               	9.9995000000e-01
