# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	max(Ts)
0.05              	3.3583908530e+02
0.1               	3.6875110320e+02
0.15              	3.9892028862e+02
0.2               	4.2658287457e+02
0.25              	4.5194546009e+02
0.3               	4.7520102305e+02
0.35              	4.9652879684e+02
0.4               	5.1609610857e+02
0.45              	5.3405924928e+02
0.5               	5.5056392416e+02
