# Region          : all region0
# Cells           : 25
# Volume          : 1.2500000000e-06
# Time            	volAverage(U)
0.01              	9.8999220163e-02
0.02              	9.8945987338e-02
0.03              	9.8930960016e-02
0.04              	9.8928977435e-02
0.05              	9.8928446804e-02
0.06              	9.8928255570e-02
0.07              	9.8928132838e-02
0.08              	9.8927994657e-02
0.09              	9.8927832794e-02
0.1               	9.8927633994e-02
