# Region          : all region0
# Cells           : 200
# Volume          : 3.0000000000e-07
# Time            	volAverage(Ts)
0.25              	8.6863988543e+01
0.5               	9.1332027522e+01
0.75              	1.3521095595e+02
1                 	9.2186044112e+01
1.25              	1.0345339820e+02
1.5               	5.7622540250e+01
1.75              	4.6005298756e+01
2                 	2.5451977966e+01
