# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(Ts)
0.92              	1.7250000000e+02
0.925             	1.7250000000e+02
0.93              	1.7250000000e+02
0.935             	1.7250000000e+02
0.94              	1.7250000000e+02
0.945             	1.7250000000e+02
0.95              	1.7250000000e+02
0.955             	1.7250000000e+02
0.96              	1.7250000000e+02
0.965             	1.7250000000e+02
0.97              	1.8159995884e+02
0.975             	1.8750000000e+02
0.98              	1.8750000000e+02
0.985             	1.8750000000e+02
0.99              	1.8750000000e+02
0.995             	1.8750000000e+02
1                 	1.8750000000e+02
1.005             	1.8750000000e+02
1.01              	1.8750000000e+02
1.015             	1.8750000000e+02
1.02              	1.8750000000e+02
1.025             	1.8750000000e+02
1.03              	1.8750000000e+02
1.035             	1.8750000000e+02
1.04              	1.8750000000e+02
1.045             	1.8750000000e+02
1.05              	1.8750000000e+02
1.055             	1.8750000000e+02
1.06              	1.8750000000e+02
1.065             	1.8750000000e+02
1.07              	2.0700000000e+02
1.075             	2.0700000000e+02
1.08              	2.0700000000e+02
1.085             	2.0700000000e+02
1.09              	2.0700000000e+02
1.095             	2.0700000000e+02
1.1               	2.0700000000e+02
1.105             	2.0700000000e+02
1.11              	2.0700000000e+02
1.115             	2.0700000000e+02
1.12              	2.0700000000e+02
1.125             	2.0700000000e+02
1.13              	2.0700000000e+02
1.135             	2.0700000000e+02
1.14              	2.0700000000e+02
1.145             	2.0700000000e+02
1.15              	2.0700000000e+02
1.155             	2.0700000000e+02
1.16              	2.0700000000e+02
1.165             	2.0700000000e+02
1.17              	2.2050000000e+02
1.175             	2.2050000000e+02
1.18              	2.2050000000e+02
1.185             	2.2050000000e+02
1.19              	2.2050000000e+02
1.195             	2.2050000000e+02
1.2               	2.2050000000e+02
1.205             	2.2050000000e+02
1.21              	2.2050000000e+02
1.215             	2.2050000000e+02
1.22              	2.2050000000e+02
1.225             	2.2050000000e+02
1.23              	2.2050000000e+02
1.235             	2.2050000000e+02
1.24              	2.2050000000e+02
1.245             	2.2050000000e+02
1.25              	2.2050000000e+02
1.255             	2.2050000000e+02
1.26              	2.2050000000e+02
1.265             	2.2589952195e+02
1.27              	2.3400000000e+02
1.275             	2.3400000000e+02
1.28              	2.3400000000e+02
1.285             	2.3400000000e+02
1.29              	2.3400000000e+02
1.295             	2.3400000000e+02
1.3               	2.3400000000e+02
1.305             	2.3400000000e+02
1.31              	2.3400000000e+02
1.315             	2.3400000000e+02
1.32              	2.3400000000e+02
1.325             	2.3400000000e+02
1.33              	2.3400000000e+02
1.335             	2.3400000000e+02
1.34              	2.3400000000e+02
1.345             	2.3400000000e+02
1.35              	2.3400000000e+02
1.355             	2.3400000000e+02
1.36              	2.3400000000e+02
1.365             	2.4774298757e+02
1.37              	2.4900000000e+02
1.375             	2.4900000000e+02
1.38              	2.4900000000e+02
1.385             	2.4900000000e+02
1.39              	2.4900000000e+02
1.395             	2.4900000000e+02
1.4               	2.4900000000e+02
1.405             	2.4900000000e+02
1.41              	2.4900000000e+02
1.415             	2.4900000000e+02
1.42              	2.4900000000e+02
1.425             	2.4900000000e+02
1.43              	2.4900000000e+02
1.435             	2.4900000000e+02
1.44              	2.4900000000e+02
1.445             	2.4900000000e+02
1.45              	2.4900000000e+02
1.455             	2.4900000000e+02
1.46              	2.4900000000e+02
1.465             	2.5800000000e+02
1.47              	2.5800000000e+02
1.475             	2.5800000000e+02
1.48              	2.5800000000e+02
1.485             	2.5800000000e+02
1.49              	2.5800000000e+02
1.495             	2.5800000000e+02
1.5               	2.5800000000e+02
1.505             	2.5800000000e+02
1.51              	2.5800000000e+02
1.515             	2.5800000000e+02
1.52              	2.5800000000e+02
1.525             	2.5800000000e+02
1.53              	2.5800000000e+02
1.535             	2.5800000000e+02
1.54              	2.5800000000e+02
1.545             	2.5800000000e+02
1.55              	2.5800000000e+02
1.555             	2.5800000000e+02
1.56              	2.5800000000e+02
1.565             	2.7900000000e+02
1.57              	2.7900000000e+02
1.575             	2.7900000000e+02
1.58              	2.7900000000e+02
1.585             	2.7900000000e+02
1.59              	2.7900000000e+02
1.595             	2.7900000000e+02
1.6               	2.7900000000e+02
1.605             	2.7900000000e+02
1.61              	2.7900000000e+02
1.615             	2.7900000000e+02
1.62              	2.7900000000e+02
1.625             	2.7900000000e+02
1.63              	2.7900000000e+02
1.635             	2.7900000000e+02
1.64              	2.7900000000e+02
1.645             	2.7900000000e+02
1.65              	2.7900000000e+02
1.655             	2.7900000000e+02
