# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	max(Ts)
0.05              	3.3609675409e+02
0.1               	3.6965925719e+02
0.15              	4.0101026076e+02
0.2               	4.3052301180e+02
0.25              	4.5853647377e+02
0.3               	4.8535827737e+02
0.35              	5.1126992257e+02
0.4               	5.3653258986e+02
0.45              	5.6139346776e+02
0.5               	5.8609300541e+02
