# Region          : all region0
# Cells           : 200
# Volume          : 3.0000000000e-07
# Time            	min(porosityF)
0.25              	9.9109353987e-01
0.5               	9.9210418786e-01
0.75              	9.9258561725e-01
1                 	9.9305891793e-01
1.25              	9.9330136068e-01
1.5               	9.9387357455e-01
1.75              	9.9706777876e-01
2                 	9.9973697728e-01
