# Region          : all region0
# Cells           : 200
# Volume          : 3.0000000000e-07
# Time            	volIntegrate(porosityF)
0.1               	2.9982000005e-07
0.2               	2.9982000006e-07
0.3               	2.9982059734e-07
0.4               	2.9982118590e-07
0.5               	2.9982177639e-07
