# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	min(Ts)
0.05              	3.0005867223e+02
0.1               	3.0020930967e+02
0.15              	3.0042622982e+02
0.2               	3.0072781680e+02
0.25              	3.0113178338e+02
0.3               	3.0165503455e+02
0.35              	3.0231337945e+02
0.4               	3.0312126017e+02
0.45              	3.0409151780e+02
0.5               	3.0523518615e+02
