# Region          : all region0
# Cells           : 3200
# Volume          : 3.0000000000e-07
# Time            	max(Ts)
0.25              	1.5552337970e+12
0.5               	1.5552337970e+12
0.75              	1.5552337970e+12
1                 	1.5552337970e+12
1.25              	1.5552337970e+12
1.5               	1.5552337970e+12
1.75              	1.5552337970e+12
2                 	1.5552337970e+12
