# Region          : all region0
# Cells           : 800
# Volume          : 3.0000000000e-07
# Time            	volIntegrate(Ychar)	volIntegrate(Yash)	volIntegrate(Yhum)	volIntegrate(Yrubberwood)
0.25              	2.6999999009e-08	3.0000009914e-09	0.0000000000e+00	0.0000000000e+00
0.5               	2.6999998903e-08	3.0000010969e-09	0.0000000000e+00	0.0000000000e+00
0.75              	2.6999998862e-08	3.0000011382e-09	0.0000000000e+00	0.0000000000e+00
1                 	2.6999998826e-08	3.0000011742e-09	0.0000000000e+00	0.0000000000e+00
1.25              	2.6999998788e-08	3.0000012118e-09	0.0000000000e+00	0.0000000000e+00
1.5               	1.6199999150e-08	1.8000008501e-09	0.0000000000e+00	0.0000000000e+00
1.75              	2.6999997832e-09	3.0000021681e-10	0.0000000000e+00	0.0000000000e+00
2                 	2.6999997831e-09	3.0000021688e-10	0.0000000000e+00	0.0000000000e+00
