# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambda)
0.0002            	9.9999999934e-01
0.0004            	9.9999999934e-01
0.0006            	9.9999999934e-01
0.0008            	9.9999999934e-01
0.001             	9.9999999934e-01
0.0012            	9.9999999934e-01
0.0014            	9.9999999934e-01
0.0016            	9.9999999934e-01
0.0018            	9.9999999934e-01
0.002             	9.9999999934e-01
