# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	max(Ts)
0.05              	3.3609675411e+02
0.1               	3.6965925727e+02
0.15              	4.0101026282e+02
0.2               	4.3052301452e+02
0.25              	4.5853647168e+02
0.3               	4.8535832341e+02
0.35              	5.1126994690e+02
0.4               	5.3653259034e+02
0.45              	5.6139348596e+02
0.5               	5.8609314517e+02
