# Region          : all region0
# Cells           : 4
# Volume          : 4.0000000000e-09
# Time            	volAverage(G)
0.05              	1.8700733314e+05
0.1               	1.8580644655e+05
0.15              	1.8462765782e+05
0.2               	1.8347040482e+05
0.25              	1.8233414335e+05
0.3               	1.8121834653e+05
0.35              	1.8012250412e+05
0.4               	1.7904612185e+05
0.45              	1.7798872088e+05
0.5               	1.7694983722e+05
