# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(porosityF)
0.05              	4.0042536912e-01
0.1               	4.0098815784e-01
0.15              	4.0171995556e-01
0.2               	4.0264837055e-01
0.25              	4.0379729058e-01
0.3               	4.0518653576e-01
0.35              	4.0683186896e-01
0.4               	4.0874520313e-01
0.45              	4.1093491383e-01
0.5               	4.1340624935e-01
