# Region          : all region0
# Cells           : 200
# Volume          : 3.0000000000e-07
# Time            	volIntegrate(Ychar)	volIntegrate(Yash)	volIntegrate(Yhum)	volIntegrate(Yrubberwood)
0.25              	3.7799997099e-08	4.2000029015e-09	0.0000000000e+00	0.0000000000e+00
0.5               	3.7799997047e-08	4.2000029525e-09	0.0000000000e+00	0.0000000000e+00
0.75              	4.3199996169e-08	4.8000038308e-09	0.0000000000e+00	0.0000000000e+00
1                 	3.7799996810e-08	4.2000031898e-09	0.0000000000e+00	0.0000000000e+00
1.25              	3.7799996399e-08	4.2000036011e-09	0.0000000000e+00	0.0000000000e+00
1.5               	2.6999996532e-08	3.0000034678e-09	0.0000000000e+00	0.0000000000e+00
1.75              	1.0799998074e-08	1.2000019261e-09	0.0000000000e+00	0.0000000000e+00
2                 	5.3999991359e-09	6.0000086408e-10	0.0000000000e+00	0.0000000000e+00
