# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(porosityF)
0.05              	4.0042536922e-01
0.1               	4.0098815849e-01
0.15              	4.0171995780e-01
0.2               	4.0264837594e-01
0.25              	4.0379729992e-01
0.3               	4.0518655217e-01
0.35              	4.0683189685e-01
0.4               	4.0874524707e-01
0.45              	4.1093498184e-01
0.5               	4.1340634439e-01
