# Region          : all region0
# Cells           : 3200
# Volume          : 3.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.25              	1.8173094925e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
0.5               	1.8106626701e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
0.75              	1.8028944110e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1                 	1.7950145036e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.25              	1.7871208380e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.5               	1.7807512134e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.75              	1.7766181026e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
2                 	1.7765639660e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
