# Region          : all region0
# Cells           : 800
# Volume          : 3.0000000000e-07
# Time            	volIntegrate(porosityF)
0.25              	2.9982089430e-07
0.5               	2.9982237365e-07
0.75              	2.9982386159e-07
1                 	2.9982534649e-07
1.25              	2.9982683231e-07
1.5               	2.9989276071e-07
1.75              	2.9999582170e-07
2                 	2.9999997255e-07
