# Region          : all region0
# Cells           : 25
# Volume          : 1.2500000000e-06
# Time            	volAverage(U)
0.01              	9.9038752354e-02
0.02              	9.9029459455e-02
0.03              	9.9026811966e-02
0.04              	9.9026304000e-02
0.05              	9.9025741414e-02
0.06              	9.9025070763e-02
0.07              	9.9024360157e-02
0.08              	9.9023399504e-02
0.09              	9.9022497144e-02
0.1               	9.9021290042e-02
