# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	average(lambdaDot)
0.0002            	7.7265520724e-04
0.0004            	7.8005929339e-04
0.0006            	7.8759607373e-04
0.0008            	7.9526812046e-04
0.001             	8.0308095382e-04
0.0012            	8.1103414128e-04
0.0014            	8.1913536295e-04
0.0016            	8.2738731335e-04
0.0018            	8.3579412046e-04
0.002             	8.4436006134e-04
