# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	average(lambda)
0.0002            	6.1128571509e-01
0.0004            	6.1128550123e-01
0.0006            	6.1128528555e-01
0.0008            	6.1128506803e-01
0.001             	6.1128484863e-01
0.0012            	6.1128462731e-01
0.0014            	6.1128440406e-01
0.0016            	6.1128417883e-01
0.0018            	6.1128395158e-01
0.002             	6.1128372229e-01
