# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambda)
0.0002            	1.0000000000e+00
0.0004            	1.0000000000e+00
0.0006            	1.0000000000e+00
0.0008            	1.0000000000e+00
0.001             	1.0000000000e+00
0.0012            	1.0000000000e+00
0.0014            	1.0000000000e+00
0.0016            	1.0000000000e+00
0.0018            	1.0000000000e+00
0.002             	1.0000000000e+00
