# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(Ts)
0.05              	3.1286221982e+02
0.1               	3.2527533954e+02
0.15              	3.3722924613e+02
0.2               	3.4875778565e+02
0.25              	3.5989196741e+02
0.3               	3.7066023498e+02
0.35              	3.8108851089e+02
0.4               	3.9120027326e+02
0.45              	4.0101665159e+02
0.5               	4.1055655761e+02
