# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambdaDot)
0.0002            	1.1679901023e-03
0.0004            	1.1788933056e-03
0.0006            	1.1899911867e-03
0.0008            	1.2012896823e-03
0.001             	1.2127944852e-03
0.0012            	1.2245075077e-03
0.0014            	1.2364383311e-03
0.0016            	1.2485915828e-03
0.0018            	1.2609733993e-03
0.002             	1.2735902094e-03
