# Region          : all region0
# Cells           : 200
# Volume          : 3.0000000000e-07
# Time            	max(Ts)
0.25              	5.2754140708e+02
0.5               	4.7912938712e+02
0.75              	4.4293668684e+02
1                 	4.1804160070e+02
1.25              	4.0250742577e+02
1.5               	3.9365670031e+02
1.75              	3.8194251837e+02
2                 	3.6957392238e+02
