# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	max(lambdaDot)
0.0002            	7.7265545075e-04
0.0004            	7.8006007681e-04
0.0006            	7.8759673659e-04
0.0008            	7.9526881059e-04
0.001             	8.0308192258e-04
0.0012            	8.1103543821e-04
0.0014            	8.1913694081e-04
0.0016            	8.2738914385e-04
0.0018            	8.3579617037e-04
0.002             	8.4436232626e-04
