# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	max(Ts)
0.05              	3.3609671973e+02
0.1               	3.6965915472e+02
0.15              	4.0101005655e+02
0.2               	4.3052267017e+02
0.25              	4.5853592601e+02
0.3               	4.8535751025e+02
0.35              	5.1126885459e+02
0.4               	5.3653116977e+02
0.45              	5.6139184807e+02
0.5               	5.8609134996e+02
