# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	min(Ts)
0.05              	3.0029330790e+02
0.1               	3.0069583179e+02
0.15              	3.0116966063e+02
0.2               	3.0173573715e+02
0.25              	3.0241554890e+02
0.3               	3.0323124595e+02
0.35              	3.0420560580e+02
0.4               	3.0536192343e+02
0.45              	3.0672394187e+02
0.5               	3.0831574507e+02
