# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	average(lambda)
0.0002            	9.9999934527e-01
0.0004            	9.9999867857e-01
0.0006            	9.9999800635e-01
0.0008            	9.9999732850e-01
0.001             	9.9999664497e-01
0.0012            	9.9999595561e-01
0.0014            	9.9999526038e-01
0.0016            	9.9999455916e-01
0.0018            	9.9999385180e-01
0.002             	9.9999313827e-01
