# Region          : all region0
# Cells           : 800
# Volume          : 3.0000000000e-07
# Time            	volAverage(porosityF)
0.25              	9.9940298101e-01
0.5               	9.9940791218e-01
0.75              	9.9941287198e-01
1                 	9.9941782162e-01
1.25              	9.9942277437e-01
1.5               	9.9964253571e-01
1.75              	9.9998607234e-01
2                 	9.9999990849e-01
