springID sphere1 sphere2 length
227 46 57 2.387119e-03
228 46 86 2.388216e-03
229 42 46 2.689173e-03
230 46 92 2.761382e-03
231 47 73 1.863268e-03
232 47 74 2.230213e-03
233 47 94 2.723819e-03
234 0 47 2.814337e-03
235 48 71 1.518688e-03
236 48 77 1.611286e-03
237 48 80 2.133879e-03
238 48 49 2.507202e-03
239 49 59 1.656536e-03
240 49 67 1.918833e-03
241 49 72 2.616884e-03
242 49 64 2.977004e-03
243 50 53 1.696483e-03
244 50 96 1.768929e-03
245 27 50 2.537781e-03
246 8 51 3.626921e-03
247 51 80 4.414087e-03
248 35 51 4.498043e-03
249 51 77 4.693260e-03
250 52 70 2.050624e-03
251 52 57 2.064920e-03
252 31 52 2.870437e-03
253 36 52 3.139744e-03
254 52 87 3.294493e-03
255 53 99 2.249559e-03
256 53 68 2.530739e-03
257 41 53 3.197667e-03
258 17 53 3.231786e-03
259 54 86 1.613329e-03
260 54 61 2.362055e-03
261 54 76 2.401823e-03
262 55 99 2.588479e-03
263 33 55 3.061575e-03
264 55 73 3.104420e-03
265 5 56 3.070325e-03
266 57 70 1.781148e-03
267 57 86 2.685992e-03
268 58 79 2.710014e-03
269 58 95 2.821258e-03
270 58 87 2.882355e-03
271 58 90 2.955860e-03
272 59 67 2.011917e-03
273 59 72 2.566595e-03
274 59 64 2.850122e-03
275 30 59 3.366402e-03
276 60 89 2.781442e-03
277 61 81 2.254218e-03
278 61 86 2.254283e-03
279 18 62 3.255490e-03
280 48 62 3.455284e-03
281 62 77 3.486976e-03
282 63 65 1.786970e-03
283 63 73 2.206196e-03
284 23 65 3.188747e-03
285 66 84 3.077938e-03
286 14 66 3.527636e-03
287 45 66 3.894845e-03
288 38 66 3.915786e-03
289 62 66 4.047099e-03
290 48 67 3.069281e-03
291 30 67 3.195952e-03
292 67 83 3.412592e-03
293 68 99 1.547078e-03
294 69 91 1.756723e-03
295 69 94 2.216367e-03
296 47 69 3.447852e-03
297 24 69 3.919143e-03
298 32 70 3.185719e-03
299 70 87 3.432710e-03
300 31 70 3.465431e-03
301 70 76 3.810842e-03
302 71 80 1.953503e-03
303 71 75 1.963423e-03
304 72 85 2.276910e-03
305 72 93 2.293468e-03
306 73 81 2.557169e-03
307 54 73 2.701256e-03
308 55 74 3.389284e-03
309 73 74 3.747793e-03
310 0 74 3.856909e-03
311 24 74 3.945147e-03
312 75 96 1.828627e-03
313 76 86 1.791976e-03
314 76 97 1.925387e-03
315 40 76 2.422475e-03
316 12 76 3.237855e-03
317 77 80 2.503647e-03
318 71 77 2.843836e-03
319 78 98 1.679008e-03
320 78 84 2.335985e-03
321 79 95 2.474155e-03
322 79 90 2.484051e-03
323 36 79 3.716082e-03
324 24 79 4.217138e-03
325 54 81 2.523903e-03
326 21 82 3.182589e-03
327 13 82 3.275653e-03
328 52 82 3.434266e-03
329 77 83 3.224080e-03
330 48 83 4.180841e-03
331 7 83 4.810547e-03
332 41 84 2.750398e-03
333 60 84 2.882266e-03
334 75 84 2.973754e-03
335 1 84 2.990497e-03
336 85 93 1.776177e-03
337 87 97 2.906771e-03
338 88 89 1.550093e-03
339 88 92 2.119031e-03
340 27 88 2.872669e-03
341 42 89 2.727542e-03
342 90 95 2.509292e-03
343 90 94 2.901420e-03
344 91 94 1.700942e-03
345 90 91 3.259164e-03
346 29 91 3.504934e-03
347 16 91 3.950665e-03
348 81 92 2.606226e-03
349 68 92 2.851230e-03
350 10 93 3.225250e-03
351 61 94 2.801137e-03
352 40 97 3.055789e-03
353 65 97 3.253822e-03
354 14 98 3.529198e-03
355 33 98 3.546878e-03
356 22 98 3.658686e-03
357 33 99 2.883202e-03
358 43 99 2.977064e-03
359 0 99 3.150101e-03
