# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(Ts)
0.0001            	1.6073209114e+01
0.0002            	1.9359996581e+01
0.0003            	2.2643799743e+01
0.0004            	2.3930638642e+01
0.0005            	2.4000000000e+01
0.0006            	2.4000000000e+01
0.0007            	2.4000000000e+01
0.0008            	2.4000000000e+01
0.0009            	2.4000000000e+01
0.001             	2.4000000000e+01
0.0011            	2.4000000000e+01
0.0012            	2.4000000000e+01
0.0013            	2.4000000000e+01
0.0014            	2.4000000000e+01
0.0015            	2.4000000000e+01
0.0016            	2.4000000000e+01
0.0017            	2.4000000000e+01
0.0018            	2.4000000000e+01
0.0019            	2.4000000000e+01
0.002             	2.4000000000e+01
0.0021            	2.4000000000e+01
0.0022            	2.4000000000e+01
0.0023            	2.4000000000e+01
0.0024            	2.4000000000e+01
0.0025            	2.4000000000e+01
0.0026            	2.4000000000e+01
0.0027            	2.4000000000e+01
0.0028            	2.4000000000e+01
0.0029            	2.4000000000e+01
0.003             	2.4000000000e+01
0.0031            	2.4000000000e+01
0.0032            	2.4000000000e+01
0.0033            	2.4000000000e+01
0.0034            	2.4000000000e+01
0.0035            	2.4000000000e+01
0.0036            	2.4000000000e+01
0.0037            	2.4000000000e+01
0.0038            	2.4000000000e+01
0.0039            	2.4000000000e+01
0.004             	2.4000000000e+01
0.0041            	2.4000000000e+01
0.0042            	2.4000000000e+01
0.0043            	2.4000000000e+01
0.0044            	2.4000000000e+01
0.0045            	2.4000000000e+01
0.0046            	2.4000000000e+01
0.0047            	2.4000000000e+01
0.0048            	2.4000000000e+01
0.0049            	2.4000000000e+01
0.005             	2.4000000000e+01
0.0051            	2.4000000000e+01
0.0052            	2.4000000000e+01
0.0053            	2.4000000000e+01
0.0054            	2.4000000000e+01
0.0055            	2.4000000000e+01
0.0056            	2.4000000000e+01
0.0057            	2.4000000000e+01
0.0058            	2.4000000000e+01
0.0059            	2.4000000000e+01
0.006             	2.4000000000e+01
0.0061            	2.4000000000e+01
0.0062            	2.4000000000e+01
0.0063            	2.4000000000e+01
0.0064            	2.4000000000e+01
0.0065            	2.4000000000e+01
0.0066            	2.4000000000e+01
0.0067            	2.4000000000e+01
0.0068            	2.4000000000e+01
0.0069            	2.4000000000e+01
0.007             	2.4000000000e+01
0.0071            	2.4000000000e+01
0.0072            	2.4000000000e+01
0.0073            	2.4000000000e+01
0.0074            	2.4000000000e+01
0.0075            	2.4000000000e+01
0.0076            	2.4000000000e+01
0.0077            	2.4000000000e+01
0.0078            	2.4000000000e+01
0.0079            	2.4000000000e+01
0.008             	2.4000000000e+01
0.0081            	2.4000000000e+01
0.0082            	2.4000000000e+01
0.0083            	2.4000000000e+01
0.0084            	2.4000000000e+01
0.0085            	2.4000000000e+01
0.0086            	2.4000000000e+01
0.0087            	2.4000000000e+01
0.0088            	2.4000000000e+01
0.0089            	2.4000000000e+01
0.009             	2.4000000000e+01
0.0091            	2.4000000000e+01
0.0092            	2.4000000000e+01
0.0093            	2.4000000000e+01
0.0094            	2.4000000000e+01
0.0095            	2.4000000000e+01
0.0096            	2.4000000000e+01
0.0097            	2.4000000000e+01
0.0098            	2.4000000000e+01
0.0099            	2.4000000000e+01
0.01              	2.4000000000e+01
