# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(porosityF)
1.055             	7.3625003000e-01
1.06              	7.3500003000e-01
1.065             	7.3375003000e-01
1.07              	7.3250003000e-01
1.075             	7.3125003000e-01
1.08              	7.3000003000e-01
1.085             	7.2875003000e-01
1.09              	7.2750003000e-01
1.095             	7.2625003000e-01
1.1               	7.2500003000e-01
1.105             	7.2375003000e-01
1.11              	7.2250003000e-01
1.115             	7.2125003000e-01
1.12              	7.2000003000e-01
1.125             	7.1875003000e-01
1.13              	7.1750003000e-01
1.135             	7.1625003000e-01
1.14              	7.1500003000e-01
1.145             	7.1375003000e-01
1.15              	7.1250003000e-01
1.155             	7.1125003000e-01
1.16              	7.1000003000e-01
1.165             	7.0875003000e-01
1.17              	7.0750003000e-01
1.175             	7.0625003000e-01
1.18              	7.0500003000e-01
1.185             	7.0375003000e-01
1.19              	7.0250003000e-01
1.195             	7.0125003000e-01
1.2               	7.0000003000e-01
1.205             	6.9875003000e-01
1.21              	6.9750003000e-01
1.215             	6.9625003000e-01
1.22              	6.9500003000e-01
1.225             	6.9375003000e-01
1.23              	6.9250003000e-01
1.235             	6.9125003000e-01
1.24              	6.9000003000e-01
1.245             	6.8875003000e-01
1.25              	6.8750003000e-01
1.255             	6.8625003000e-01
1.26              	6.8500003000e-01
1.265             	6.8375003000e-01
1.27              	6.8250003000e-01
1.275             	6.8125003000e-01
1.28              	6.8000003000e-01
1.285             	6.7875003000e-01
1.29              	6.7750003000e-01
1.295             	6.7625003000e-01
1.3               	6.7500003000e-01
1.305             	6.7375003000e-01
1.31              	6.7250003000e-01
1.315             	6.7125003000e-01
1.32              	6.7000003000e-01
1.325             	6.6875003000e-01
1.33              	6.6750003000e-01
1.335             	6.6625003000e-01
1.34              	6.6500003000e-01
1.345             	6.6375003000e-01
1.35              	6.6250003000e-01
1.355             	6.6125003000e-01
1.36              	6.6000003000e-01
1.365             	6.5875003000e-01
1.37              	6.5750003000e-01
1.375             	6.5625003000e-01
1.38              	6.5500003000e-01
1.385             	6.5375003000e-01
1.39              	6.5250003000e-01
1.395             	6.5125003000e-01
1.4               	6.5000003000e-01
1.405             	6.4875003000e-01
1.41              	6.4750003000e-01
1.415             	6.4625003000e-01
1.42              	6.4500003000e-01
1.425             	6.4375003000e-01
1.43              	6.4250003000e-01
1.435             	6.4125003000e-01
1.44              	6.4000003000e-01
1.445             	6.3875003000e-01
1.45              	6.3750003000e-01
1.455             	6.3625003000e-01
1.46              	6.3500003000e-01
1.465             	6.3375003000e-01
1.47              	6.3250003000e-01
1.475             	6.3125003000e-01
1.48              	6.3000003000e-01
1.485             	6.2875003000e-01
