# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambda)
0.0002            	9.9999961041e-01
0.0004            	9.9999921359e-01
0.0006            	9.9999881340e-01
0.0008            	9.9999840979e-01
0.001             	9.9999800270e-01
0.0012            	9.9999759206e-01
0.0014            	9.9999717783e-01
0.0016            	9.9999675992e-01
0.0018            	9.9999633829e-01
0.002             	9.9999591285e-01
