# Region          : all region0
# Cells           : 3200
# Volume          : 3.0000000000e-07
# Time            	min(porosityF)
0.25              	9.9000000126e-01
0.5               	9.9000003448e-01
0.75              	9.9000016783e-01
1                 	9.9000038256e-01
1.25              	9.9000065482e-01
1.5               	9.9000097489e-01
1.75              	9.9965357513e-01
2                 	9.9999998504e-01
