# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	max(lambda)
0.0002            	1.0000011432e+00
0.0004            	1.0000023166e+00
0.0006            	1.0000035009e+00
0.0008            	1.0000046964e+00
0.001             	1.0000059034e+00
0.0012            	1.0000071219e+00
0.0014            	1.0000083523e+00
0.0016            	1.0000095947e+00
0.0018            	1.0000108494e+00
0.002             	1.0000121166e+00
