# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(porosityF)
0.05              	4.0038170010e-01
0.1               	4.0076315638e-01
0.15              	4.0114436741e-01
0.2               	4.0152533325e-01
0.25              	4.0190605518e-01
0.3               	4.0228653612e-01
0.35              	4.0266677062e-01
0.4               	4.0304675417e-01
0.45              	4.0342649663e-01
0.5               	4.0380600085e-01
