# Region          : all region0
# Cells           : 3200
# Volume          : 3.0000000000e-07
# Time            	volAverage(Ts)
0.25              	7.6597278940e+09
0.5               	7.6598743971e+09
0.75              	7.6598743971e+09
1                 	7.6598743970e+09
1.25              	7.6598743971e+09
1.5               	7.6598743926e+09
1.75              	7.6598743847e+09
2                 	7.6598743847e+09
