# Region          : all region0
# Cells           : 2
# Volume          : 2.0000000000e-09
# Time            	volIntegrate(gasSourceOutsideGate)
0.5	0.000000000e+00
1	0.000000000e+00
1.5	0.000000000e+00
2	0.000000000e+00
2.5	0.000000000e+00
3	0.000000000e+00
3.5	0.000000000e+00
4	0.000000000e+00
4.5	0.000000000e+00
5	0.000000000e+00
