# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambdaDot)
0.0002            	0.0000000000e+00
0.0004            	0.0000000000e+00
0.0006            	0.0000000000e+00
0.0008            	0.0000000000e+00
0.001             	0.0000000000e+00
0.0012            	0.0000000000e+00
0.0014            	0.0000000000e+00
0.0016            	0.0000000000e+00
0.0018            	0.0000000000e+00
0.002             	0.0000000000e+00
