# Region          : all region0
# Cells           : 200
# Volume          : 3.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.25              	1.8192510513e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
0.5               	1.8192510416e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
0.75              	1.8192510340e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1                 	1.8192510269e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.25              	1.8192510202e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.5               	1.8192510054e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.75              	1.8192480019e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
2                 	1.8192480019e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
