# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	min(Ts)
0.05              	3.0030331463e+02
0.1               	3.0069370304e+02
0.15              	3.0115555111e+02
0.2               	3.0170590913e+02
0.25              	3.0236695861e+02
0.3               	3.0316080354e+02
0.35              	3.0411015431e+02
0.4               	3.0523828482e+02
0.45              	3.0656899849e+02
0.5               	3.0812646821e+02
