# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	min(porosityF)
0.92              	5.0000000000e-01
0.925             	5.0000000000e-01
0.93              	5.0000000000e-01
0.935             	5.0000000000e-01
0.94              	5.0000000000e-01
0.945             	5.0000000000e-01
0.95              	5.0000000000e-01
0.955             	5.0000000000e-01
0.96              	5.0000000000e-01
0.965             	5.0000000000e-01
0.97              	5.0000000000e-01
0.975             	5.0000000000e-01
0.98              	5.0000000000e-01
0.985             	5.0000000000e-01
0.99              	5.0000000000e-01
0.995             	5.0000000000e-01
1                 	5.0000000000e-01
1.005             	5.0000000000e-01
1.01              	5.0000000000e-01
1.015             	5.0000000000e-01
1.02              	5.0000000000e-01
1.025             	5.0000000000e-01
1.03              	5.0000000000e-01
1.035             	5.0000000000e-01
1.04              	5.0000000000e-01
1.045             	5.0000000000e-01
1.05              	5.0000000000e-01
1.055             	5.0000000000e-01
1.06              	5.0000000000e-01
1.065             	5.0000000000e-01
1.07              	5.0000000000e-01
1.075             	5.0000000000e-01
1.08              	5.0000000000e-01
1.085             	5.0000000000e-01
1.09              	5.0000000000e-01
1.095             	5.0000000000e-01
1.1               	5.0000000000e-01
1.105             	5.0000000000e-01
1.11              	5.0000000000e-01
1.115             	5.0000000000e-01
1.12              	5.0000000000e-01
1.125             	5.0000000000e-01
1.13              	5.0000000000e-01
1.135             	5.0000000000e-01
1.14              	5.0000000000e-01
1.145             	5.0000000000e-01
1.15              	5.0000000000e-01
1.155             	5.0000000000e-01
1.16              	5.0000000000e-01
1.165             	5.0000000000e-01
1.17              	5.0000000000e-01
1.175             	5.0000000000e-01
1.18              	5.0000000000e-01
1.185             	5.0000000000e-01
1.19              	5.0000000000e-01
1.195             	5.0000000000e-01
1.2               	5.0000000000e-01
1.205             	5.0000000000e-01
1.21              	5.0000000000e-01
1.215             	5.0000000000e-01
1.22              	5.0000000000e-01
1.225             	5.0000000000e-01
1.23              	5.0000000000e-01
1.235             	5.0000000000e-01
1.24              	5.0000000000e-01
1.245             	5.0000000000e-01
1.25              	5.0000000000e-01
1.255             	5.0000000000e-01
1.26              	5.0000000000e-01
1.265             	5.0000000000e-01
1.27              	5.0000000000e-01
