# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	average(lambda)
0.0002            	1.0000006367e+00
0.0004            	1.0000012926e+00
0.0006            	1.0000019549e+00
0.0008            	1.0000026235e+00
0.001             	1.0000032987e+00
0.0012            	1.0000039806e+00
0.0014            	1.0000046692e+00
0.0016            	1.0000053648e+00
0.0018            	1.0000060673e+00
0.002             	1.0000067771e+00
