# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambdaDot)
0.0002            	1.5628615793e-03
0.0004            	1.5767775959e-03
0.0006            	1.5909332798e-03
0.0008            	1.6053350259e-03
0.001             	1.6199898735e-03
0.0012            	1.6349005543e-03
0.0014            	1.6500777119e-03
0.0016            	1.6655270766e-03
0.0018            	1.6812559176e-03
0.002             	1.6972717694e-03
