# Region          : all region0
# Cells           : 800
# Volume          : 3.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.25              	1.8192510028e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
0.5               	1.8192508863e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
0.75              	1.8192507755e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1                 	1.8192506696e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.25              	1.8192505676e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.5               	1.8192504654e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
1.75              	1.8192497510e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
2                 	1.8192497510e-07	2.0213903743e-08	0.0000000000e+00	0.0000000000e+00
