# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	max(Ts)
1.055             	4.4267681516e+34
1.06              	4.1729779085e+34
1.065             	3.9375202791e+34
1.07              	1.4793091481e+39
1.075             	7.7832725082e+38
1.08              	5.4580696921e+38
1.085             	4.3874260589e+38
1.09              	3.8741328938e+38
1.095             	3.5542830603e+38
1.1               	3.3211265062e+38
1.105             	3.1389920436e+38
1.11              	2.9739792985e+38
1.115             	2.8068713315e+38
1.12              	2.6323887928e+38
1.125             	2.4500822450e+38
1.13              	2.2778763535e+38
1.135             	2.1204461084e+38
1.14              	1.9776019117e+38
1.145             	1.8505235900e+38
1.15              	1.7361019069e+38
1.155             	1.6318010019e+38
1.16              	1.5358307103e+38
1.165             	1.4464404807e+38
1.17              	3.9879599083e+42
1.175             	2.4903890126e+42
1.18              	1.8696562346e+42
1.185             	1.5992645467e+42
1.19              	1.4425771741e+42
1.195             	1.3316152470e+42
1.2               	1.2458906261e+42
1.205             	1.1754073847e+42
1.21              	1.1071506163e+42
1.215             	1.0387753658e+42
1.22              	9.6712636014e+41
1.225             	8.9599640851e+41
1.23              	8.3055314208e+41
1.235             	7.7144423899e+41
1.24              	7.1900851197e+41
1.245             	6.7238623210e+41
1.25              	6.3032309243e+41
1.255             	5.9194019694e+41
1.26              	5.5661208357e+41
1.265             	4.0378744059e+46
1.27              	1.3006514641e+46
1.275             	8.3273965562e+45
1.28              	6.6557709585e+45
1.285             	5.7914718607e+45
1.29              	5.2220303997e+45
1.295             	4.7947201787e+45
1.3               	4.4652813435e+45
1.305             	4.1739304398e+45
1.31              	3.8942550076e+45
1.315             	3.6164948601e+45
1.32              	3.3395638860e+45
1.325             	3.0766228147e+45
1.33              	2.8406485654e+45
1.335             	2.6323782045e+45
1.34              	2.4501475628e+45
1.345             	2.2879909537e+45
1.35              	2.1416791780e+45
1.355             	2.0082591602e+45
1.36              	1.8844378727e+45
1.365             	8.4186469660e+49
1.37              	3.8894446103e+49
1.375             	2.7785804247e+49
1.38              	2.3072635045e+49
1.385             	2.0249693972e+49
1.39              	1.8258191286e+49
1.395             	1.6718250466e+49
1.4               	1.5512062919e+49
1.405             	1.4389873959e+49
1.41              	1.3346271668e+49
1.415             	1.2310503809e+49
1.42              	1.1317022996e+49
1.425             	1.0395117961e+49
1.43              	9.5786103613e+48
1.435             	8.8706023050e+48
1.44              	8.2503543045e+48
1.445             	7.6976261056e+48
1.45              	7.1986150582e+48
1.455             	6.7434427797e+48
1.46              	6.3135835778e+48
1.465             	2.2853598826e+53
1.47              	1.2388559927e+53
1.475             	9.4614484016e+52
1.48              	7.9475639179e+52
1.485             	6.9692399560e+52
1.49              	6.2580854475e+52
1.495             	5.7080499293e+52
1.5               	5.2479706018e+52
1.505             	4.8353130159e+52
1.51              	4.4513374520e+52
1.515             	4.0813041640e+52
1.52              	3.7365543204e+52
1.525             	3.4224763042e+52
1.53              	3.1490321463e+52
1.535             	2.9137856731e+52
1.54              	2.7073554849e+52
1.545             	2.5232716609e+52
1.55              	2.3570825301e+52
1.555             	2.2042314029e+52
1.56              	2.0588193481e+52
1.565             	6.6234156796e+56
1.57              	4.1794953525e+56
1.575             	3.2346018149e+56
1.58              	2.7061338400e+56
1.585             	2.3559676595e+56
1.59              	2.1000760525e+56
1.595             	1.8974214294e+56
1.6               	1.7274464160e+56
1.605             	1.5798506043e+56
1.61              	1.4420991539e+56
1.615             	1.3146049350e+56
1.62              	1.1986324244e+56
1.625             	1.0947275585e+56
1.63              	1.0060448351e+56
1.635             	9.2971514777e+55
1.64              	8.6268785736e+55
1.645             	8.0292402821e+55
1.65              	7.4897112600e+55
1.655             	6.9849363190e+55
1.66              	6.5081980392e+55
1.665             	2.2369343911e+60
1.67              	1.4280786901e+60
1.675             	1.0946869824e+60
1.68              	9.0526990212e+59
1.685             	7.7972561562e+59
1.69              	6.8613977746e+59
1.695             	6.1223120712e+59
1.7               	5.5239388962e+59
1.705             	5.0038623103e+59
1.71              	4.5316159530e+59
1.715             	4.1080142009e+59
1.72              	3.7303351493e+59
1.725             	3.3990859980e+59
1.73              	3.1192968221e+59
1.735             	2.8784806798e+59
1.74              	2.6672731220e+59
1.745             	2.4793815782e+59
1.75              	2.3066162267e+59
1.755             	2.1442402495e+59
1.76              	1.9927099550e+59
1.765             	5.5911825120e+63
1.77              	3.7716050875e+63
1.775             	2.9000661182e+63
1.78              	2.3802858068e+63
1.785             	2.0190328820e+63
1.79              	1.7426719739e+63
1.795             	1.5269319662e+63
1.8               	1.3547917076e+63
1.805             	1.2146887268e+63
1.81              	1.0983935736e+63
1.815             	9.9983135809e+62
1.82              	9.1557178717e+62
1.825             	8.4582901900e+62
1.83              	7.8684154395e+62
1.835             	7.3562260579e+62
1.84              	6.9027495909e+62
1.845             	6.4958370467e+62
1.85              	6.1270606471e+62
1.855             	5.7902303994e+62
1.86              	5.4806631755e+62
1.865             	5.1947220609e+62
1.87              	4.9293456406e+62
1.875             	4.6817109097e+62
1.88              	4.4449257219e+62
1.885             	4.2073185636e+62
1.89              	3.9740376414e+62
1.895             	3.7490678490e+62
1.9               	3.5347732372e+62
1.905             	3.3323686783e+62
1.91              	3.1422855535e+62
1.915             	2.9644418260e+62
1.92              	2.7991200703e+62
1.925             	2.6488161190e+62
1.93              	2.5124544480e+62
1.935             	2.3885793956e+62
1.94              	2.2758714708e+62
1.945             	2.1731460815e+62
1.95              	2.0793464736e+62
1.955             	1.9935338050e+62
1.96              	1.9143263006e+62
1.965             	1.8371693311e+62
1.97              	1.7615643907e+62
1.975             	1.6878315624e+62
1.98              	1.6161968386e+62
1.985             	1.5470101371e+62
1.99              	1.4816249432e+62
1.995             	1.4199754648e+62
2                 	1.3617416765e+62
